Stadium,Capacity,City,State/Province,Conference,Classification
NRG Stadium,71054,Houston,Texas,AAC,Mid-Major
Lincoln Financial Field,68532,Philadelphia,Pennsylvania,AAC,Mid-Major
Raymond James Stadium,65647,Tampa,Florida,AAC,Mid-Major
Liberty Bowl Memorial Stadium,62380,Memphis,Tennessee,AAC,Mid-Major
Dowdy_Ficklen Stadium,50000,Greenville,North Carolina,AAC,Mid-Major
Bright House Networks Stadium,45323,Orlando,Florida,AAC,Mid-Major
Rentschler Field,40000,East Hartford,Connecticut,AAC,Mid-Major
Skelly Field at H.A. Chapman Stadium,35542,Tulsa,Oklahoma,AAC,Mid-Major
Nippert Stadium,35000,Cincinnati,Ohio,AAC,Mid-Major
Gerald J. Ford Stadium,32000,University Park,Texas,AAC,Mid-Major
Benson Field at Yulman Stadium,30000,New Orleans,Louisiana,AAC,Mid-Major
Huskie Stadium,30998,DeKalb,Illinois,MAC,Mid-Major
Dix Stadium,30520,Kent,Ohio,MAC,Mid-Major
Rynearson Stadium,30200,Ypsilanti,Michigan,MAC,Mid-Major
Kelly/Shorts Stadium,30199,Mount Pleasant,Michigan,MAC,Mid-Major
Waldo Stadium,30100,Kalamazoo,Michigan,MAC,Mid-Major
InfoCision Stadium_Summa Field,30000,Akron,Ohio,MAC,Mid-Major
Doyt Perry Stadium,33527,Bowling Green,Ohio,MAC,Mid-Major
University at Buffalo Stadium,31000,Amherst,New York,MAC,Mid-Major
Yager Stadium,24286,Oxford,Ohio,MAC,Mid-Major
Peden Stadium,24000,Athens,Ohio,MAC,Mid-Major
Scheumann Stadium,22500,Muncie,Indiana,MAC,Mid-Major
Glass Bowl,26248,Toledo,Ohio,MAC,Mid-Major
Qualcomm Stadium,70561,San Diego,California,MWC,Mid-Major
Falcon Stadium,52480,Colorado Springs,Colorado,MWC,Mid-Major
Bulldog Stadium,41031,Fresno,California,MWC,Mid-Major
University Stadium,40094,Albuquerque,New Mexico,MWC,Mid-Major
Bronco Stadium,37000,Boise,Idaho,MWC,Mid-Major
Sam Boyd Stadium,36800,Whitney,Nevada,MWC,Mid-Major
Sonny Lubick Field at Hughes Stadium,34400,Fort Collins,Colorado,MWC,Mid-Major
War Memorial Stadium,32580,Laramie,Wyoming,MWC,Mid-Major
Spartan Stadium,30456,San Jose,California,MWC,Mid-Major
Aloha Stadium,50000,Honolulu,Hawai_i,MWC,Mid-Major
Mackay Stadium,30000,Reno,Nevada,MWC,Mid-Major
War Memorial Stadium,53727,Little Rock,Arkansas,SunBelt,Mid-Major
Ladd Peebles Stadium,40646,Mobile,Alabama,SunBelt,Mid-Major
Cajun Field,31000,Lafayette,Louisiana,SunBelt,Mid-Major
Liberty Bank Stadium,30964,Jonesboro,Arkansas,SunBelt,Mid-Major
Malone Stadium,30427,Monroe,Louisiana,SunBelt,Mid-Major
Jim Wacker Field at Bobcat Stadium,30000,San Marcos,Texas,SunBelt,Mid-Major
Veterans Memorial Stadium,30000,Troy,Alabama,SunBelt,Mid-Major
Kidd Brewer Stadium,24050,Boone,North Carolina,SunBelt,Mid-Major
Paulson Stadium,25000,Statesboro,Georgia,SunBelt,Mid-Major
Maverick Stadium,15000,Arlington,Texas,SunBelt,Mid-Major
Georgia Dome,71228,Atlanta,Georgia,SunBelt,Mid-Major
Bank of America Stadium,73778,Charlotte,North Carolina,USA,Mid-Major
Legion Field,71594,Birmingham,Alabama,USA,Mid-Major
Rice Stadium,70000,Houston,Texas,USA,Mid-Major
Sun Bowl Stadium,51500,El Paso,Texas,USA,Mid-Major
Joan C. Edwards Stadium,38016,Huntington,West Virginia,USA,Mid-Major
M. M. Roberts Stadium,36000,Hattiesburg,Mississippi,USA,Mid-Major
"Johnny ""Red"" Floyd Stadium",31000,Murfreesboro,Tennessee,USA,Mid-Major
Apogee Stadium,30850,Denton,Texas,USA,Mid-Major
Joe Aillet Stadium,30600,Ruston,Louisiana,USA,Mid-Major
FAU Stadium,30000,Boca Raton,Florida,USA,Mid-Major
"William ""Dick"" Price Stadium",30000,Norfolk,Virginia,USA,Mid-Major
Florida International University,23500,Miami,Florida,USA,Mid-Major
Western Kentucky University,22000,Bowling Green,Kentucky,USA,Mid-Major
Alamodome,65000,San Antonio,Texas,USA,Mid-Major
Aggie Memorial Stadium,30343,Las Cruces,New Mexico,None,Other
20. Notre Dame Stadium,80795,South Bend,Indiana,None,Other
LaVell Edwards Stadium,63725,Provo,Utah,None,Other
Michie Stadium,40000,West Point,New York,None,Other
Navy_Marine Corps Memorial Stadium,34000,Annapolis,Maryland,None,Other
Yale Bowl,61446,New Haven,Connecticut,Ivy,Other
Franklin Field,52593,Philadelphia,Pennsylvania,Ivy,Other
Harvard Stadium,30323,Boston,Massachusetts,Ivy,Other
12. Cotton Bowl,92100,Dallas,Texas,None,Other
Citrus Bowl,70188,Orlando,Florida,None,Other
Independence Stadium,50832,Shreveport,Louisiana,None,Other
Robert F. Kennedy Memorial Stadium,45423,"Washington, D.C.",N/A,None,Other
Rubber Bowl,31000,Akron,Ohio,None,Other
Cessna Stadium,30000,Wichita,Kansas,None,Other
17. Bobby Bowden Field at Doak Campbell Stadium,82300,Tallahassee,Florida,ACC,Power 5
19. Frank Howard Field at Memorial Stadium,81500,Clemson,South Carolina,ACC,Power 5
30. Sun Life Stadium,75540,Miami Gardens,Florida,ACC,Power 5
Lane Stadium,66233,Blacksburg,Virginia,ACC,Power 5
Heinz Field,65050,Pittsburgh,Pennsylvania,ACC,Power 5
Kenan Memorial Stadium,62980,Chapel Hill,North Carolina,ACC,Power 5
Scott Stadium,61500,Charlottesville,Virginia,ACC,Power 5
Papa John's Cardinal Stadium,56000,Louisville,Kentucky,ACC,Power 5
Bobby Dodd Stadium,55000,Atlanta,Georgia,ACC,Power 5
Carrier Dome,49262,Syracuse,New York,ACC,Power 5
Alumni Stadium,44500,Chestnut Hill,Massachusetts,ACC,Power 5
Wallace Wade Stadium,33941,Durham,North Carolina,ACC,Power 5
BB&T Field,31500,Winston-Salem,North Carolina,ACC,Power 5
Carter_Finley Stadium,57583,Raleigh,North Carolina,ACC,Power 5
8. Darrell K Royal_Texas Memorial Stadium,100119,Austin,Texas,Big 12,Power 5
18. Gaylord Family Oklahoma Memorial Stadium,82112,Norman,Oklahoma,Big 12,Power 5
Mountaineer Field at Milan Puskar Stadium,60540,Morgantown,West Virginia,Big 12,Power 5
Jones AT&T Stadium,60454,Lubbock,Texas,Big 12,Power 5
Boone Pickens Stadium,60218,Stillwater,Oklahoma,Big 12,Power 5
Jack Trice Stadium,55000,Ames,Iowa,Big 12,Power 5
University of Kansas Memorial Stadium,50071,Lawrence,Kansas,Big 12,Power 5
Bill Snyder Family Football Stadium,50000,Manhattan,Kansas,Big 12,Power 5
Floyd Casey Stadium,50000,Waco,Texas,Big 12,Power 5
Amon G. Carter Stadium,45000,Fort Worth,Texas,Big 12,Power 5
1. Michigan Stadium,109901,Ann Arbor,Michigan,B1G,Power 5
2. Beaver Stadium,106572,University Park,Pennsylvania,B1G,Power 5
4. Ohio Stadium,104944,Columbus,Ohio,B1G,Power 5
15. Memorial Stadium,87091,Lincoln,Nebraska,B1G,Power 5
22. Camp Randall Stadium,80321,Madison,Wisconsin,B1G,Power 5
Spartan Stadium,75005,East Lansing,Michigan,B1G,Power 5
Kinnick Stadium,70585,Iowa City,Iowa,B1G,Power 5
Hubert H. Humphrey Metrodome,64035,Minneapolis,Minnesota,B1G,Power 5
Ross_Ade Stadium,62500,West Lafayette,Indiana,B1G,Power 5
Memorial Stadium,60670,Champaign,Illinois,B1G,Power 5
Memorial Stadium,52929,Bloomington,Indiana,B1G,Power 5
High Point Solutions Stadium,52454,Piscataway,New Jersey,B1G,Power 5
Byrd Stadium,51802,College Park,Maryland,B1G,Power 5
Ryan Field,49256,Evanston,Illinois,B1G,Power 5
TCF Bank Stadium,50805,Minneapolis,Minnesota,B1G,Power 5
9. Los Angeles Memorial Coliseum,93607,Los Angeles,California,Pac-12,Power 5
11. Rose Bowl,92542,Pasadena,California,Pac-12,Power 5
Husky Stadium,72500,Seattle,Washington,Pac-12,Power 5
Sun Devil Stadium,71706,Tempe,Arizona,Pac-12,Power 5
California Memorial Stadium,62717,Berkeley,California,Pac-12,Power 5
Arizona Stadium,57803,Tucson,Arizona,Pac-12,Power 5
Autzen Stadium,53800,Eugene,Oregon,Pac-12,Power 5
Folsom Field,53750,Boulder,Colorado,Pac-12,Power 5
Stanford Stadium,50000,Stanford,California,Pac-12,Power 5
Reser Stadium,45674,Corvallis,Oregon,Pac-12,Power 5
Rice-Eccles Stadium,45634,Salt Lake City,Utah,Pac-12,Power 5
Martin Stadium,35117,Pullman,Washington,Pac-12,Power 5
3. Kyle Field,106512,College Station,Texas,SEC,Power 5
5. Neyland Stadium,102455,Knoxville,Tennessee,SEC,Power 5
6. Tiger Stadium,102321,Baton Rouge,Louisiana,SEC,Power 5
7. Bryant_Denny Stadium,101821,Tuscaloosa,Alabama,SEC,Power 5
10. Sanford Stadium,92746,Athens,Georgia,SEC,Power 5
13. Ben Hill Griffin Stadium,88548,Gainesville,Florida,SEC,Power 5
14. Jordan_Hare Stadium,87451,Auburn,Alabama,SEC,Power 5
23. Williams-Brice Stadium,80250,Columbia,South Carolina,SEC,Power 5
Donald W. Reynolds Razorback Stadium,72000,Fayetteville,Arkansas,SEC,Power 5
Faurot Field,71004,Columbia,Missouri,SEC,Power 5
Commonwealth Stadium,67606,Lexington,Kentucky,SEC,Power 5
Davis Wade Stadium,61337,Starkville,Mississippi,SEC,Power 5
Vaught_Hemingway Stadium,60580,Oxford,Mississippi,SEC,Power 5
Vanderbilt Stadium,39790,Nashville,Tennessee,SEC,Power 5
16. MetLife Stadium,82566,East Rutherford,New Jersey,NFL,Pro
21. Lambeau Field,80735,Green Bay,Wisconsin,NFL,Pro
24. AT&T Stadium,80000,Arlington,Texas,NFL,Pro
25. Arrowhead Stadium,79451,Kansas City,Missouri,NFL,Pro
26. FedExField,79000,Landover,Maryland,NFL,Pro
27. EverBank Field,76867,Jacksonville,Florida,NFL,Pro
28. Mercedes-Benz Superdome,76468,New Orleans,Louisiana,NFL,Pro
29. Sports Authority Field at Mile High,76125,Denver,Colorado,NFL,Pro
Cleveland Browns Stadium,73200,Cleveland,Ohio,NFL,Pro
Ralph Wilson Stadium,73079,Orchard Park,New York,NFL,Pro
Georgia Dome,71228,Atlanta,Georgia,NFL,Pro
M&T Bank Stadium,71008,Baltimore,Maryland,NFL,Pro
LP Field,68804,Nashville,Tennessee,NFL,Pro
Gillette Stadium,68756,Foxborough,Massachusetts,NFL,Pro
Levi's Stadium,68500,Santa Clara,California,NFL,Pro
CenturyLink Field,67000,Seattle,Washington,NFL,Pro
Edward Jones Dome,66965,St. Louis,Missouri,NFL,Pro
Paul Brown Stadium,65535,Cincinnati,Ohio,NFL,Pro
Ford Field,65000,Detroit,Michigan,NFL,Pro
University of Phoenix Stadium,63400,Glendale,Arizona,NFL,Pro
O.co Coliseum,63026,Oakland,California,NFL,Pro
Lucas Oil Stadium,63000,Indianapolis,Indiana,NFL,Pro
Soldier Field,61500,Chicago,Illinois,NFL,Pro
Qualcomm Stadium,70561,San Diego,California,NFL,Pro
NRG Stadium,71054,Houston,Texas,NFL,Pro
Lincoln Financial Field,68532,Philadelphia,Pennsylvania,NFL,Pro
Raymond James Stadium,65647,Tampa,Florida,NFL,Pro
30. Sun Life Stadium,75540,Miami Gardens,Florida,NFL,Pro
Heinz Field,65050,Pittsburgh,Pennsylvania,NFL,Pro
Bank of America Stadium,73778,Charlotte,North Carolina,NFL,Pro